Date,Open,High,Low,Adj Close,Volume,sma,rsi,ma,std_dev,upperband,lowerband,EMA12,EMA26,MACD,Signal_Line,MACD_Histogram,Close
2023-06-29,578.0,580.0,570.0,562.0528564453125,16937929,572.75,53.0435,572.75,12.8631,598.4762,547.0238,575.2718760660906,564.9578529812777,10.314023084812902,13.221469176218314,-2.9074460914054114,573.0
2023-06-30,570.0,576.0,568.0,564.9955444335938,22654976,573.65,58.1818,573.65,12.3981,598.4462,548.8538,575.3838951328459,565.7757897974793,9.608105335366531,12.498796408047959,-2.8906910726814274,576.0
2023-07-03,578.0,580.0,576.0,567.938232421875,14785585,575.05,63.2075,575.05,11.2319,597.5138,552.5862,575.9402189585619,566.755360923592,9.18485803496992,11.836008733432351,-2.6511506984624305,579.0
2023-07-04,585.0,585.0,580.0,573.8236694335938,17219541,576.2,61.3861,576.2,11.0005,598.201,554.199,577.3340314264755,568.1068156699927,9.227215756482792,11.31425013804244,-2.087034381559647,585.0
2023-07-05,589.0,589.0,579.0,570.8809814453125,14913592,577.55,63.9175,577.55,9.8594,597.2688,557.8312,578.0518727454792,569.1359404351783,8.915932310300832,10.834586572494118,-1.9186542621932858,582.0
2023-07-06,573.0,574.0,565.0,554.2056274414062,28564891,577.8,52.2936,577.8,9.4457,596.6914,558.9086,576.0438923230978,568.829574477017,7.214317846080803,10.110532827211456,-2.896214981130653,565.0
2023-07-07,565.0,572.0,563.0,554.2056274414062,18796190,577.65,48.5149,577.65,9.6315,596.913,558.387,574.3448319656982,568.5459022935343,5.798929672163922,9.24821219620195,-3.4492825240380274,565.0
2023-07-10,567.0,573.0,565.0,554.2056274414062,18454982,577.95,53.2609,577.95,9.0987,596.1474,559.7526,572.9071655094369,568.2832428643836,4.623922645053312,8.323354285972222,-3.6994316409189096,565.0
2023-07-11,574.0,577.0,570.0,565.9764404296875,17850636,578.55,56.1224,578.55,8.5807,595.7114,561.3886,573.5368323541389,568.928928578133,4.607903776005969,7.580264183978971,-2.972360407973002,577.0
2023-07-12,574.0,578.0,572.0,566.9573364257812,15588228,578.75,52.2222,578.75,8.5155,595.781,561.719,574.2234735304253,569.6008597945676,4.622613735857726,6.988734094354723,-2.366120358496997,578.0
2023-07-13,587.0,590.0,585.0,573.8236694335938,25442137,578.35,44.8718,578.35,7.9821,594.3142,562.3858,575.8814006795906,570.7415368468219,5.139863832768697,6.618960042037519,-1.479096209268822,585.0
2023-07-14,589.0,591.0,587.0,579.7089233398438,23121873,578.4,50.6173,578.4,8.0616,594.5232,562.2768,578.2073390365766,572.2421637470574,5.965175289519266,6.488203091533869,-0.5230278020146031,591.0
2023-07-17,588.0,591.0,587.0,579.7089233398438,13807834,578.4,50.0,578.4,8.0616,594.5232,562.2768,580.1754407232571,573.6316330991273,6.54380762412984,6.499323998053064,0.044483626076776694,591.0
2023-07-18,587.0,588.0,580.0,569.9000244140625,20932006,578.0,45.4545,578.0,7.6983,593.3966,562.6034,580.3022959966022,574.1774380547475,6.124857941854657,6.4244307868133825,-0.2995728449587256,581.0
2023-07-19,584.0,587.0,579.0,569.9000244140625,22499123,577.9,48.7805,577.9,7.6427,593.1854,562.6146,580.409635074048,574.6828130136552,5.726822060392806,6.284909041529268,-0.5580869811364622,581.0
2023-07-20,580.0,584.0,578.0,567.938232421875,15108109,577.7,47.619,577.7,7.554,592.808,562.592,580.192768139579,575.0026046422734,5.190163497305662,6.065959932684548,-0.8757964353788861,579.0
2023-07-21,560.0,563.0,557.0,549.30126953125,46711021,576.65,39.604,576.65,8.4746,593.5992,559.7008,577.0861884257977,573.8913005946976,3.194887831100118,5.491745512367662,-2.296857681267544,560.0
2023-07-24,557.0,563.0,557.0,547.3394775390625,25268835,575.85,41.6667,575.85,9.4383,594.7266,556.9734,574.1498517449057,572.7141672173126,1.4356845275931391,4.680533315412757,-3.2448487878196177,558.0
2023-07-25,561.0,569.0,561.0,558.1292724609375,19590349,575.7,48.5714,575.7,9.5261,594.7522,556.6478,573.357566861074,572.439043719734,0.9185231413400743,3.9281312805982207,-3.0096081392581464,569.0
2023-07-26,569.0,571.0,563.0,555.1865844726562,13314305,575.3,46.2264,575.3,9.7662,594.8324,555.7676,572.2256334978318,571.9620775182723,0.26355597955955545,3.195216220390488,-2.9316602408309325,566.0
2023-07-27,570.0,570.0,566.0,558.1292724609375,12200358,575.1,48.1481,575.1,9.8563,594.8126,555.3874,571.7293821904731,571.7426643687706,-0.0132821782975725,2.553516540652876,-2.5667987189504484,569.0
2023-07-28,569.0,573.0,565.0,556.16748046875,18540078,574.65,45.7944,574.65,10.0172,594.6844,554.6156,571.0017849304003,571.3913558970098,-0.38957096660953994,1.9648990392003927,-2.3544700058099326,567.0
2023-07-31,575.0,575.0,560.0,554.2056274414062,24208467,573.95,43.3962,573.95,10.185,594.32,553.58,570.0784334026464,570.917922126861,-0.8394887242145614,1.404021486517402,-2.2435102107319636,565.0
2023-08-01,565.0,568.0,564.0,556.16748046875,16259643,573.05,41.1765,573.05,9.9497,592.9494,553.1506,569.6048282637778,570.6277056730194,-1.0228774092415733,0.9186417073656071,-1.9415191166071804,567.0
2023-08-02,567.0,569.0,558.0,550.2821655273438,25583234,572.0,40.0,572.0,10.063,592.126,551.874,568.2810085308889,569.9145422898328,-1.6335337589438268,0.4082066141037204,-2.0417403730475474,561.0
2023-08-04,556.0,560.0,552.0,543.4158935546875,26279173,571.45,44.2105,571.45,10.7433,592.9366,549.9634,566.0839302953676,568.7356873054007,-2.651757010033066,-0.2037861107236369,-2.447970899309429,554.0
2023-08-07,558.0,561.0,556.0,547.3394775390625,14369551,571.1,46.4646,571.1,11.0734,593.2468,548.9532,564.8402487114649,567.9404512087044,-3.1002024972394793,-0.7830693880268054,-2.3171331092126737,558.0
2023-08-08,558.0,558.0,551.0,541.4540405273438,19010690,570.45,43.8095,570.45,11.8076,594.0652,546.8348,562.864825832778,566.7596770450967,-3.894851212318713,-1.4054257528851868,-2.489425459433526,552.0
2023-08-09,550.0,557.0,550.0,543.4158935546875,14389090,569.3,37.8947,569.3,12.2479,593.7958,544.8042,561.5010064738891,565.814515782497,-4.313509308607877,-1.9870424640297248,-2.3264668445781522,554.0
2023-08-10,552.0,554.0,550.0,540.47314453125,17892615,567.95,36.0825,567.95,12.7175,593.385,542.515,559.8854670163678,564.7171442430528,-4.831677226684974,-2.5559694165607745,-2.2757078101241994,551.0
2023-08-11,556.0,558.0,546.0,535.5687255859375,17608427,566.0,29.4737,566.0,12.9534,591.9068,540.0932,557.749241321542,563.3306891139378,-5.581447792395807,-3.1610650917277807,-2.420382700668026,546.0
2023-08-14,540.0,543.0,537.0,530.6642456054688,20939030,563.5,23.4043,563.5,12.6969,588.8938,538.1062,555.1724349643816,561.6765639943868,-6.504129030005174,-3.8296778793832598,-2.6744511506219144,541.0
2023-08-15,543.0,545.0,540.0,531.6450805664062,14066307,561.05,24.2105,561.05,11.8076,584.6652,537.4348,553.1459065083229,560.2190407355433,-7.073134227220407,-4.478369148950689,-2.5947650782697185,542.0
2023-08-16,541.0,543.0,536.0,531.6450805664062,28269840,559.1,27.0588,559.1,11.5572,582.2144,535.9856,551.4311516608886,558.8694821625402,-7.438330501651535,-5.070361419490858,-2.367969082160677,542.0
2023-08-17,540.0,546.0,537.0,533.6068725585938,22843138,557.25,28.7356,557.25,10.8039,578.8578,535.6422,550.2878975592134,557.7680390393891,-7.480141480175689,-5.5523174316278245,-1.9278240485478646,544.0
2023-08-18,540.0,544.0,539.0,528.702392578125,17592345,555.25,27.7778,555.25,10.254,575.758,534.742,548.5512979347191,556.3778139253602,-7.826515990641155,-6.007157143430491,-1.8193588472106645,539.0
2023-08-21,544.0,544.0,534.0,526.7406616210938,16633821,554.1,34.2466,554.1,10.9588,576.0176,532.1824,546.7741751755315,554.9424203012595,-8.168245125728049,-6.439374739890003,-1.7288703858380456,537.0
2023-08-22,544.0,544.0,538.0,530.6642456054688,14594304,553.25,38.6667,553.25,11.2945,575.839,530.661,545.8858405331421,553.9096484270921,-8.023807893949993,-6.756261370702002,-1.267546523247991,541.0
2023-08-23,546.0,552.0,544.0,541.4540405273438,20636332,552.4,38.6667,552.4,10.6692,573.7384,531.0616,546.8264804511202,553.7681929880482,-6.94171253692798,-6.793351603947198,-0.1483609329807818,552.0
2023-08-24,563.0,564.0,558.0,553.224853515625,23280827,552.3,48.8095,552.3,10.5436,573.3872,531.2128,549.4685603817171,554.5261046185632,-5.05754423684607,-6.446190130526973,1.388645893680903,564.0
2023-08-25,549.0,551.0,546.0,535.5687255859375,24144537,551.15,38.3838,551.15,9.8583,570.8666,531.4334,548.9349357076068,553.8945413134844,-4.959605605877641,-6.148873225597107,1.189267619719466,546.0
2023-08-28,547.0,553.0,547.0,538.5114135742188,8991985,550.25,41.0,550.25,9.1299,568.5098,531.9902,548.9449455987442,553.5319826976707,-4.587037098926544,-5.836506000262995,1.249468901336451,549.0
2023-08-29,551.0,553.0,546.0,541.4540405273438,10516678,549.6,43.5644,549.6,8.4629,566.5258,532.6742,549.4149539681682,553.4185024978433,-4.003548529675072,-5.469914506145411,1.466365976470339,552.0
2023-08-30,558.0,560.0,554.0,544.396728515625,15117416,549.0,44.1176,549.0,7.5394,564.0788,533.9212,550.2741918192193,553.5356504609659,-3.2614586417466853,-5.028223333265666,1.766764691518981,555.0
2023-08-31,553.0,556.0,548.0,538.5114135742188,40431378,548.4,44.1176,548.4,6.9917,562.3834,534.4166,550.0781623085702,553.1996763527462,-3.121514044176024,-4.6468814754477386,1.5253674312717145,549.0
2023-09-01,543.0,553.0,543.0,537.530517578125,13669766,548.1,46.875,548.1,6.8664,561.8328,534.3672,549.7584450303286,552.8145151414317,-3.056070111103054,-4.328719202578802,1.2726490914757482,548.0
2023-09-04,549.0,557.0,549.0,546.3585205078125,9531157,548.05,49.505,548.05,6.7938,561.6376,534.4624,550.872530410278,553.1245510568812,-2.252020646603114,-3.913379491383665,1.6613588447805507,557.0
2023-09-05,553.0,555.0,550.0,541.4540405273438,12220686,548.05,50.0,548.05,6.7938,561.6376,534.4624,551.0459872702353,553.0412509785937,-1.9952637083583795,-3.529756334778608,1.5344926264202283,552.0
2023-09-06,556.0,556.0,550.0,539.4922485351562,14067008,547.85,48.0,547.85,6.6671,561.1842,534.5158,550.8850661517375,552.8159731283275,-1.9309069765899949,-3.2099864631408854,1.2790794865508905,550.0
2023-09-07,546.0,548.0,542.0,531.6450805664062,20717005,547.4,45.7143,547.4,6.7465,560.893,533.907,549.518132897624,552.0147899336366,-2.496657036012607,-3.06732057771523,0.5706635417026229,542.0
2023-09-08,535.0,540.0,535.0,528.702392578125,15283568,547.05,46.6019,547.05,6.9998,561.0496,533.0504,547.8999586056818,551.0507314200339,-3.150772814352081,-3.0840110250426003,-0.06676178930948051,539.0
2023-09-11,539.0,540.0,536.0,525.7598266601562,14631968,546.8,47.5248,546.8,7.3097,561.4194,532.1806,546.0691957432692,549.9358624259573,-3.8666666826881055,-3.240542156571702,-0.6261245261164037,536.0
