Date,Open,High,Low,Adj Close,Volume,sma,rsi,ma,std_dev,upperband,lowerband,EMA12,EMA26,MACD,Signal_Line,MACD_Histogram,Close,CloseY
2020-10-07,435,445,435,411.6249695,42926239,436.7,58.7629,436.7,8.4967,453.6934,419.7066,435.6795832,433.4106626,2.268920644,2.815582188,-0.546661544,443,453
2020-10-08,450,454,448.5,420.9166565,60853811,437.8,60.7843,437.8,9.1211,456.0422,419.5578,438.3442627,434.8617246,3.482538119,2.948973375,0.533564744,453,460
2020-10-12,458,462,457.5,427.420929,64719223,439.45,65.7143,439.45,10.0064,459.4628,419.4372,441.6759146,436.7238191,4.952095535,3.349597807,1.602497728,460,462
2020-10-13,465,465,456.5,429.2792969,45750738,440.8,63.6364,440.8,11.1325,463.065,418.535,444.802697,438.5961288,6.206568205,3.920991886,2.285576319,462,459
2020-10-14,460.5,461,457,426.4917908,40809241,441.925,61.194,441.925,11.7924,465.5098,418.3402,446.9868974,440.1075266,6.879370802,4.512667669,2.366703132,459,453
2020-10-15,456,456.5,450,420.9166565,47775028,442.525,55.8824,442.525,12.0454,466.6158,418.4342,447.9119901,441.0625247,6.849465477,4.980027231,1.869438246,453,449
2020-10-16,451,456,448.5,417.1999817,46876801,442.725,51.9608,442.725,12.1216,466.9682,418.4818,448.0793763,441.6504858,6.428890473,5.269799879,1.159090594,449,457.5
2020-10-19,453,457.5,451,425.0979614,34470906,442.7,49.7436,442.7,12.0889,466.8778,418.5222,449.528703,442.8245239,6.704179112,5.556675726,1.147503386,457.5,451
2020-10-20,455.5,457,451,419.0583496,25205638,442.825,51.3228,442.825,12.1647,467.1544,418.4956,449.7550564,443.4301147,6.324941673,5.710328915,0.614612758,451,453
2020-10-21,453.5,456,451,420.9166565,28058921,443.275,54.8913,443.275,12.3751,468.0252,418.5248,450.2542785,444.1389951,6.115283376,5.791319808,0.323963569,453,455
2020-10-22,450,455,449.5,422.7750549,23438547,444.025,58.3333,444.025,12.6184,469.2618,418.7882,450.9843895,444.943514,6.040875498,5.841230946,0.199644553,455,452
2020-10-23,458,458,451.5,419.9875488,18777385,444.775,58.3333,444.775,12.6246,470.0242,419.5258,451.1406373,445.4662167,5.674420602,5.807868877,-0.133448275,452,450
2020-10-26,455,455,450,418.1291504,15059581,445.6,59.322,445.6,12.3859,470.3718,420.8282,450.9651546,445.8020525,5.163102144,5.678915531,-0.515813386,450,447
2020-10-27,447.5,448.5,445.5,415.3416138,20117660,446.8,64.8148,446.8,11.1855,469.171,424.429,450.3551308,445.8907893,4.464341505,5.436000725,-0.971659221,447,444
2020-10-28,445,447,443,412.5540771,24710230,447.8,62.0482,447.8,9.8547,467.5094,428.0906,449.3774184,445.7507308,3.626687539,5.074138088,-1.447450549,444,437
2020-10-29,436.5,439.5,435.5,406.0498962,41285612,448.075,53.3333,448.075,9.4441,466.9632,429.1868,447.4732002,445.1025286,2.370671611,4.533444793,-2.162773182,437,432
2020-10-30,437,437,432,401.4039917,47668895,448.125,50.5747,448.125,9.3512,466.8274,429.4226,445.0927078,444.1319709,0.960736948,3.818903224,-2.858166275,432,435.5
2020-11-02,433,435.5,428,404.6561279,33477443,448.25,51.4124,448.25,9.1529,466.5558,429.9442,443.6169066,443.4925656,0.124340994,3.079990778,-2.955649784,435.5,441
2020-11-03,439.5,443,438,409.7665405,30328495,448.675,54.5455,448.675,8.5613,465.7976,431.5524,443.2143056,443.3079311,-0.093625535,2.445267515,-2.53889305,441,450
2020-11-04,444.5,451.5,443,418.1291504,37512790,449.2,55.4974,449.2,8.2866,465.7732,432.6268,444.2582586,443.8036399,0.454618644,2.047137741,-1.592519097,450,451
2020-11-05,451.5,451.5,445.5,419.0583496,34886108,449.6,54.3011,449.6,8.1638,465.9276,433.2724,445.2954496,444.3367037,0.958745923,1.829459377,-0.870713455,451,452.5
2020-11-06,455,455.5,450,420.4521179,30154140,449.575,49.7041,449.575,8.1536,465.8822,433.2678,446.403842,444.9413923,1.462449677,1.756057437,-0.29360776,452.5,458.5
2020-11-09,458,460,454,426.0271606,39245881,449.5,49.1018,449.5,8.059,465.618,433.382,448.2647893,445.9457336,2.319055756,1.868657101,0.450398655,458.5,451
2020-11-10,452,454.5,448.5,419.0583496,34820499,448.95,43.8202,448.95,7.5182,463.9864,433.9136,448.685591,446.3201237,2.365467291,1.968019139,0.397448152,451,457
2020-11-11,448.5,457,448.5,424.6334229,36765561,448.85,48.913,448.85,7.3897,463.6294,434.0706,449.9647308,447.1112256,2.853505191,2.145116349,0.708388842,457,458
